FiscalYear,naics,Continuing Denials,Continuing Approvals,Initial Denials,Initial Approvals
2019,11,14,104,54,133
2019,21,41,461,36,363
2019,22,31,617,33,294
2019,23,53,862,129,1060
2019,31,72,1138,117,570
2019,32,173,3294,186,1939
2019,33,699,21134,912,13242
2019,42,170,2879,391,1366
2019,44,119,2018,222,814
2019,45,296,7701,305,4735
2019,48,43,929,111,377
2019,49,19,223,27,237
2019,51,710,19183,1085,10321
2019,52,720,18876,979,8322
2019,53,44,813,156,641
2019,54,29078,146581,28504,64927
2019,55,53,1635,75,587
2019,56,331,2429,551,1534
2019,61,509,12373,538,12581
2019,62,336,9060,387,6108
2019,71,25,217,71,176
2019,72,70,562,108,244
2019,81,47,618,135,434
2019,92,20,339,38,241
2019,99,207,2310,483,1721
2018,11,28,82,26,49
2018,21,32,606,12,183
2018,22,14,532,21,191
2018,23,58,727,145,723
2018,31,72,1162,95,359
2018,32,150,3167,164,1468
2018,33,602,21023,620,8502
2018,42,161,2609,358,953
2018,44,139,2098,234,570
2018,45,201,6162,157,3615
2018,48,56,1029,95,303
2018,49,19,190,23,169
2018,51,691,18328,633,6211
2018,52,815,19096,711,5734
2018,53,55,710,150,352
2018,54,28788,145782,22672,39747
2018,55,72,2264,31,415
2018,56,275,2246,449,1035
2018,61,382,9371,548,10765
2018,62,319,7621,453,5038
2018,71,25,251,62,137
2018,72,69,483,155,209
2018,81,32,626,99,370
2018,92,17,353,39,193
2018,99,93,554,229,598
2017,11,4,135,10,72
2017,21,38,677,5,221
2017,22,7,556,7,162
2017,23,28,669,48,442
2017,31,27,912,38,318
2017,32,67,2884,57,1033
2017,33,355,17849,240,8247
2017,42,91,2250,148,688
2017,44,65,1793,63,442
2017,45,64,5056,64,3035
2017,48,26,743,43,232
2017,49,0,173,5,48
2017,51,329,14253,265,6117
2017,52,258,13992,205,4018
2017,53,31,544,51,249
2017,54,12897,186431,12061,52176
2017,55,14,1653,15,319
2017,56,137,2049,171,1087
2017,61,406,13188,406,10816
2017,62,346,9273,318,5218
2017,71,15,241,31,155
2017,72,41,535,70,195
2017,81,24,604,70,318
2017,92,14,292,17,150
2017,99,54,477,110,408
2016,11,10,126,11,81
2016,21,43,737,11,178
2016,22,22,544,3,215
2016,23,48,778,40,455
2016,31,36,1086,28,373
2016,32,82,2906,39,1059
2016,33,419,18277,174,7434
2016,42,90,2262,175,936
2016,44,78,1938,82,521
2016,45,74,4060,41,1942
2016,48,28,753,43,278
2016,49,2,117,7,74
2016,51,349,13416,218,5337
2016,52,296,14394,163,4376
2016,53,33,555,48,289
2016,54,9099,164355,8843,61105
2016,55,18,1586,12,363
2016,56,136,1832,201,1049
2016,61,411,11447,438,12222
2016,62,283,8435,373,5260
2016,71,24,302,42,174
2016,72,48,572,77,219
2016,81,35,696,75,426
2016,92,18,351,23,201
2016,99,55,595,128,525
2015,11,7,130,15,81
2015,21,19,846,11,374
2015,22,10,446,10,210
2015,23,30,638,27,477
2015,31,30,842,35,460
2015,32,45,2256,31,1087
2015,33,213,14533,116,7127
2015,42,65,1654,106,981
2015,44,54,1577,73,532
2015,45,36,2613,33,1553
2015,48,20,588,26,289
2015,49,2,86,1,48
2015,51,151,10075,134,5107
2015,52,127,11760,109,4167
2015,53,23,410,35,274
2015,54,3948,108006,5789,69749
2015,55,13,1158,7,402
2015,56,80,1405,107,809
2015,61,205,9108,373,11581
2015,62,188,6393,296,4934
2015,71,15,266,41,184
2015,72,38,460,76,230
2015,81,29,571,62,469
2015,92,5,301,18,208
2015,99,76,534,113,513
2014,11,16,213,11,93
2014,21,20,1176,20,509
2014,22,8,651,7,219
2014,23,15,666,38,463
2014,31,24,1093,51,526
2014,32,51,2998,45,1350
2014,33,252,17714,195,7928
2014,42,54,1921,150,1189
2014,44,83,2055,117,641
2014,45,38,2852,39,1545
2014,48,26,811,34,350
2014,49,3,55,6,31
2014,51,168,10883,191,5094
2014,52,181,12113,104,4082
2014,53,29,549,54,340
2014,54,4187,117227,8210,86265
2014,55,9,1315,9,359
2014,56,107,1761,136,934
2014,61,246,13374,331,11193
2014,62,287,9137,312,5372
2014,71,24,374,61,249
2014,72,72,649,109,254
